"Year","Average_House_Only","Interest_Rate","Unemployment Rate (%)","Annual Change.x","Inflation Rate (%)","Annual Change.y"
"2000",54.5416666666667,8.19583333333333,6.83,-0.75,2.7194,0.98
"2001",56.4833333333333,7.1775,7.22,0.39,2.5251,-0.19
"2002",59.5166666666667,6.69583333333333,7.66,0.44,2.2584,-0.27
"2003",63.2,6.03666666666667,7.57,-0.09,2.7586,0.5
"2004",67.35,5.79666666666667,7.19,-0.38,1.8573,-0.9
"2005",70.7,5.47916666666667,6.76,-0.43,2.2136,0.36
"2006",77.9083333333333,5.97916666666667,6.32,-0.44,2.002,-0.21
"2007",83.65,6.355,6.04,-0.28,2.1384,0.14
"2008",86.025,6.405,6.14,0.1,2.3703,0.23
"2009",83.4416666666667,5.05333333333333,8.34,2.2,0.2995,-2.07
"2010",86.2583333333333,4.815,8.06,-0.28,1.7769,1.48
"2011",88.3083333333333,4.56916666666667,7.51,-0.55,2.9121,1.14
"2012",90.625,4.23666666666667,7.29,-0.22,1.5157,-1.4
"2013",92.4916666666667,4.17,7.07,-0.22,0.9383,-0.58
"2014",94.2333333333333,4.07666666666667,6.91,-0.16,1.9066,0.97
"2015",95.55,3.77083333333333,6.91,0,1.1252,-0.78
"2016",98.5666666666667,3.70083333333333,7,0.09,1.4288,0.3
"2017",101.95,3.78916666666667,6.34,-0.66,1.5969,0.17
"2018",102.925,4.36166666666667,5.83,-0.51,2.2682,0.67
"2019",102.583333333333,4.24666666666667,5.66,-0.17,1.9493,-0.32
"2020",104.85,3.71416666666667,9.46,3.8,0.717,-1.23
"2021",117.2,3.2775,7.46,-2,3.3952,2.68
"2022",128.566666666667,4.90916666666667,5.209,-2.25,6.8028,3.41
"2023",128.058333333333,6.08166666666667,NA,NA,NA,NA
"2024",127.15,6.19666666666667,NA,NA,NA,NA
