"starts","year"
"13035","Q1 2000"
"18358","Q2 2000"
"20898","Q3 2000"
"19230","Q4 2000"
"13381","Q1 2001"
"21307","Q2 2001"
"19483","Q3 2001"
"19111","Q4 2001"
"16142","Q1 2002"
"22781","Q2 2002"
"23343","Q3 2002"
"21331","Q4 2002"
"16370","Q1 2003"
"21899","Q2 2003"
"24285","Q3 2003"
"22626","Q4 2003"
"13898","Q1 2004"
"24471","Q2 2004"
"24963","Q3 2004"
"21782","Q4 2004"
"12346","Q1 2005"
"24569","Q2 2005"
"22366","Q3 2005"
"19514","Q4 2005"
"14089","Q1 2006"
"21721","Q2 2006"
"19981","Q3 2006"
"17626","Q4 2006"
"10839","Q1 2007"
"19150","Q2 2007"
"20833","Q3 2007"
"17301","Q4 2007"
"13914","Q1 2008"
"22358","Q2 2008"
"21536","Q3 2008"
"17268","Q4 2008"
"9475","Q1 2009"
"11584","Q2 2009"
"13529","Q3 2009"
"15782","Q4 2009"
"11255","Q1 2010"
"17082","Q2 2010"
"16598","Q3 2010"
"15498","Q4 2010"
"12629","Q1 2011"
"18457","Q2 2011"
"18885","Q3 2011"
"17850","Q4 2011"
"16281","Q1 2012"
"21389","Q2 2012"
"20800","Q3 2012"
"18272","Q4 2012"
"11192","Q1 2013"
"15767","Q2 2013"
"17532","Q3 2013"
"16594","Q4 2013"
"10828","Q1 2014"
"17039","Q2 2014"
"15989","Q3 2014"
"15278","Q4 2014"
"11382","Q1 2015"
"18479","Q2 2015"
"21259","Q3 2015"
"19036","Q4 2015"
"14789","Q1 2016"
"20200","Q2 2016"
"20151","Q3 2016"
"19812","Q4 2016"
"17555","Q1 2017"
"18423","Q2 2017"
"23248","Q3 2017"
"19897","Q4 2017"
"18143","Q1 2018"
"20052","Q2 2018"
"18822","Q3 2018"
"21725","Q4 2018"
"13044","Q1 2019"
"17455","Q2 2019"
"21265","Q3 2019"
"17221","Q4 2019"
"14594","Q1 2020"
"19842","Q2 2020"
"25160","Q3 2020"
"21709","Q4 2020"
"21628","Q1 2021"
"25594","Q2 2021"
"27765","Q3 2021"
"24579","Q4 2021"
"17686","Q1 2022"
"22460","Q2 2022"
"29746","Q3 2022"
"26188","Q4 2022"
"18490","Q1 2023"
"25512","Q2 2023"
"24813","Q3 2023"
"20482","Q4 2023"
"18169","Q1 2024"
